,Cap,FirstTrade,quick,side
1574,Index,10-Jun-15,HCM5,L
1575,Index,08-Jul-15,HCN5,S
1576,Index,30-Jul-15,HCQ5,S
1577,Index,27-Aug-15,HCU5,S
1578,Index,25-Sep-15,HCV5,S
1579,Index,28-Oct-15,HCX5,S
1580,Index,28-Oct-15,HCX5,S
1581,Index,25-Nov-15,HCZ5,S
1582,Index,24-Dec-14,HIF5,S
1583,Index,28-Jan-15,HIG5,S
1584,Index,25-Feb-15,HIH5,S
1585,Index,10-Dec-14,JPWH5,L
1586,Index,10-Dec-14,NKH5,S
1587,Index,28-Apr-15,NKM5,S
1588,Index,10-Jun-15,NKU5,S
1589,Index,02-Sep-15,NKU5,S
1590,Index,25-Sep-15,NKY 1 C19000,L
1591,Index,05-Nov-15,NKY 1 C20000,L
1592,Index,09-Sep-15,NKZ5,S
1593,Mid,14-Jan-15,NOL SP,L
1594,Index,25-Aug-15,SPIL US,L
1595,Index,10-Dec-14,TPH5,S
1596,Index,11-Mar-15,TPM5,S
1597,Index,10-Jun-15,TPU5,S
1598,Index,30-Jul-15,TPU5,S
1599,Index,09-Sep-15,TPZ5,S
1600,Micro,27-Nov-15,6184,L
