,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Information Technology,Non-Japan,575850,DH,2038 HK,HKD,Asia,L,A-Electronics,2013-12-27
2014/12/31,Information Technology,Non-Japan,2114940,DH,2038 HK,HKD,Asia,L,A-Electronics,2013-12-27
2014/12/31,Consumer Discretionary,Non-Japan,12748800,DH,2313 HK,HKD,Asia,L,A-Textiles,2014-08-27
2014/12/31,Consumer Discretionary,Non-Japan,614400,DH,2313 HK,HKD,Asia,L,A-Textiles,2014-08-27
2014/12/31,Consumer Discretionary,Non-Japan,2201600,DH,2313 HK,HKD,Asia,L,A-Textiles,2014-08-27
2014/12/31,Financials,Non-Japan,31165400,DH,2318 HK,HKD,Asia,L,A-Insurance,2014-12-01
2014/12/31,Financials,Non-Japan,1265600,DH,2318 HK,HKD,Asia,L,A-Insurance,2014-12-01
2014/12/31,Financials,Non-Japan,4904200,DH,2318 HK,HKD,Asia,L,A-Insurance,2014-12-01
2014/12/31,Information Technology,Non-Japan,44697000,EL,2330 TT,TWD,Asia,L,A-Tech,2014-10-17
2014/12/31,Information Technology,Non-Japan,2397000,EL,2330 TT,TWD,Asia,L,A-Tech,2014-10-17
2014/12/31,Information Technology,Non-Japan,7896000,EL,2330 TT,TWD,Asia,L,A-Tech,2014-10-17
2014/12/31,Consumer Discretionary,Non-Japan,20462400,AQ,2333 HK,HKD,Asia,L,A-Auto OEM,2014-10-09
2014/12/31,Consumer Discretionary,Non-Japan,904050,AQ,2333 HK,HKD,Asia,L,A-Auto OEM,2014-10-09
2014/12/31,Consumer Discretionary,Non-Japan,3329550,AQ,2333 HK,HKD,Asia,L,A-Auto OEM,2014-10-09
2014/12/31,Industrials,Non-Japan,18671700,AQ,2338 HK,HKD,Asia,S,A-Machinery,2014-11-07
2014/12/31,Industrials,Non-Japan,817500,AQ,2338 HK,HKD,Asia,S,A-Machinery,2014-11-07
2014/12/31,Industrials,Non-Japan,3073800,AQ,2338 HK,HKD,Asia,S,A-Machinery,2014-11-07
2014/12/31,Industrials,Non-Japan,5612090,AQ,2343 HK,HKD,Asia,L,A-Shipping,2014-08-08
2014/12/31,Industrials,Non-Japan,281700,AQ,2343 HK,HKD,Asia,L,A-Shipping,2014-08-08
2014/12/31,Industrials,Non-Japan,970300,AQ,2343 HK,HKD,Asia,L,A-Shipping,2014-08-08
2014/12/31,Industrials,Non-Japan,13143760,AQ,2357 HK,HKD,Asia,L,A-Airlines,2014-11-05
2014/12/31,Industrials,Non-Japan,574800,AQ,2357 HK,HKD,Asia,L,A-Airlines,2014-11-05
2014/12/31,Industrials,Non-Japan,2145920,AQ,2357 HK,HKD,Asia,L,A-Airlines,2014-11-05
2014/12/31,Information Technology,Non-Japan,74497500,EL,2357 TT,TWD,Asia,S,A-Tech,2014-09-29
2014/12/31,Information Technology,Non-Japan,3118500,EL,2357 TT,TWD,Asia,S,A-Tech,2014-09-29
2014/12/31,Information Technology,Non-Japan,12127500,EL,2357 TT,TWD,Asia,S,A-Tech,2014-09-29
2014/12/31,Information Technology,Non-Japan,7650000,EL,2369 HK,HKD,Asia,L,A-Tech,2014-12-17
2014/12/31,Information Technology,Non-Japan,1211760,EL,2369 HK,HKD,Asia,L,A-Tech,2014-12-17
