,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Consumer Discretionary,Wholesale Trade,200847900,TT,7552,JPY,Tail,L,Gamesoft,2014-10-16
2014/12/31,Consumer Discretionary,Wholesale Trade,53116800,TT,7552,JPY,Tail,L,Gamesoft,2014-10-16
2014/12/31,Consumer Discretionary,Retail Trade,1207575000,SM,7606,JPY,TailRR,L,Retail,2014-03-06
2014/12/31,Consumer Discretionary,Retail Trade,204525000,SM,7606,JPY,TailRR,L,Retail,2014-03-06
2014/12/31,Consumer Discretionary,Retail Trade,58387500,SM,7606,JPY,TailRR,L,Retail,2014-03-06
2014/12/31,Consumer Discretionary,Precision Instruments,1341264800,CS,7731,JPY,Tech,S,Tech,2014-12-24
2014/12/31,Consumer Discretionary,Precision Instruments,213813200,CS,7731,JPY,Tech,S,Tech,2014-12-24
2014/12/31,Consumer Discretionary,Precision Instruments,55017200,CS,7731,JPY,Tech,S,Tech,2014-12-24
2014/12/31,Information Technology,Precision Instruments,1318526000,CS,7741,JPY,Tech,L,Tech,2014-10-31
2014/12/31,Information Technology,Precision Instruments,221259500,CS,7741,JPY,Tech,L,Tech,2014-10-31
2014/12/31,Information Technology,Precision Instruments,61164500,CS,7741,JPY,Tech,L,Tech,2014-10-31
2014/12/31,Information Technology,Electric Appliances,1280038650,CS,7751,JPY,Tech,L,Tech,2014-12-12
2014/12/31,Information Technology,Electric Appliances,203162450,CS,7751,JPY,Tech,L,Tech,2014-12-12
2014/12/31,Information Technology,Electric Appliances,52998900,CS,7751,JPY,Tech,L,Tech,2014-12-12
2014/12/31,Consumer Staples,Other Products,1367522000,SM,7956,JPY,Tail,L,Childcare,2014-12-12
2014/12/31,Consumer Staples,Other Products,218154000,SM,7956,JPY,Tail,L,Childcare,2014-12-12
2014/12/31,Consumer Staples,Other Products,57186000,SM,7956,JPY,Tail,L,Childcare,2014-12-12
2014/12/31,Industrials,Wholesale Trade,1771202800,TNi,8001,JPY,CM,S,Commodities,2014-11-11
